"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - obsahuje všechny; 'xyz*' - obsahuje všechny a začíná 'xyz' a není delší než %d."
"-- Please Select --","-- Prosím vyberte --"
"Add New Class","Přidat novou třídu"
"Add New Tax Rate","Přidat novou daňovou sazbu"
"Add New Tax Rule","Přidat nové daňové pravidlo"
"After Discount","Po slevě"
"An error occurred while deleting this rate.","Chyba při mazání této sazby."
"An error occurred while deleting this rate. Incorrect rate ID.","Chyba při mazání této sazby. Chybné ID sazby."
"An error occurred while deleting this tax class.","Chyba při mazání tohoto daňového pravidla."
"An error occurred while deleting this tax rule.","Chyba při mazání tohoto daňového pravidla."
"An error occurred while saving this rate.","Chyba při ukládání sazby."
"An error occurred while saving this tax class.","Chyba při ukládání daňové třídy."
"An error occurred while saving this tax class. A class with the same name already exists.","Chyba při ukládání této daňové třídy. Třída se stejným jménem již existuje."
"An error occurred while saving this tax rule.","Chyba při ukládání daňového pravidla."
"Apply Customer Tax","Použít daňovou třídu zákazníka"
"Apply Discount On Prices","Použít slevu na ceny"
"Apply Tax On","Použít daně na"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Použít slevu na cenu s daní je vypočtena na bázi daňové třídy, pokud je vybrána volba ""Aplikovat daně po slevě""."
"Are you sure you want to do this?","Jste si jisti, že to chcete udělat?"
"Back","Zpět"
"Before Discount","Před slevou"
"CSV","CSV"
"Calculation Settings","Nastavení výpočtu"
"Catalog Prices","Katalogové ceny"
"Class Name","Jméno kategorie"
"Code","Kód"
"Country","Země"
"County","Země"
"Custom price if available","Vlastní cenu pokud je to možné"
"Customer Tax Class","Daňová třída zákazníka"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Customer Tax Classes","Daňová třída zákazníka"
"Default Country","Výchozí země"
"Default Post Code","Výchozí PSČ"
"Default State","Výchozí stav"
"Default Tax Destination Calculation","Výchozí výpočet daně původu"
"Delete Class","Smazat kategorii"
"Delete Rate","Smazat sazbu"
"Delete Rule","Smazat pravidlo"
"Display Full Tax Summary","Zobrazit součet daní"
"Display Prices","Zobrazit ceny"
"Display Product Prices In Catalog","Zobrazit ceny zboží v katalogu"
"Display Shipping Amount","Zobrazit cenu doručení"
"Display Shipping Prices","Zobrazit ceny doručení"
"Display Subtotal","Zobrazit mezisoučet"
"Display Zero Tax Subtotal","Zobrazit nulový součet daně"
"Edit Class","Upravit třídu"
"Edit Class '%s'","Upravit třídu '%s'"
"Edit Rule","Upravit pravidlo"
"Edit Tax Rate","Upravit daňovou sazbu"
"Excel XML","Excel XML"
"Excl. Tax","Bez daně"
"Excl. Tax:","Bez daně:"
"Excluding Tax","Bez daně"
"Export Tax Rates","Exportovat daňové sazby"
"Grand Total (Excl. Tax)","Celkem (bez daně)"
"Grand Total (Excl.Tax)","Celkem (bez daně)"
"Grand Total (Incl. Tax)","Celkem (s daní)"
"Grand Total (Incl.Tax)","Celkem (s daní)"
"Grand Total Excl. Tax","Celkem bez DPH"
"Grand Total Incl. Tax","Celkem s DPH"
"Import / Export Tax Rates","Import / Export daňových sazeb"
"Import Tax Rates","Import daňových sazeb"
"Inc. Tax","S daní"
"Incl. Tax","S daní"
"Incl. Tax:","S daní:"
"Include Tax In Grand Total","Zahrnout daň v celkovém součtu"
"Including Tax","S daní"
"Including and Excluding Tax","S a bez daně"
"Invalid file format upload attempt","Chybný typ nahrávaného souboru"
"Invalid file upload attempt","Chybný nahrávaný soubor"
"Manage Customer Tax Classes","Spravovat zákaznické daňové kategorie"
"Manage Product Tax Classes","Spravovat produktové daňové kategorie"
"Manage Tax Rates","Spravovat daňové sazby"
"Manage Tax Rules","Spravovat daňová pravidla"
"Manage Tax Zones & Rates","Spravovat daňové sazby"
"Name","Název"
"New Class","Nová třída"
"New Rule","Nové pravidlo"
"New Tax Rate","Nová daňová sazba"
"No","Ne"
"None","Žádné"
"One of the country has invalid code.","Jeden z řádků obsahuje chybný kód země."
"Orders, Invoices, Creditmemos Display Settings","Objednávky, faktury, dobropisy, nastavení zobrazení"
"Original price only","Pouze původní ceny"
"Price Display Settings","Nastavení zobrazení ceny"
"Priority","Priorita"
